,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-27,1,0.0,1.0,0.0
2020-03-05,2,0.301,1.0,0.0
2020-03-15,3,0.477,1.0,0.0
2020-03-16,4,0.602,1.0,0.0
2020-03-17,5,0.699,1.0,0.0
2020-03-23,6,0.778,1.0,0.0
2020-03-26,9,0.954,2.0,0.301
2020-03-31,10,1.0,2.0,0.301
2020-04-02,11,1.041,1.0,0.0
2020-04-03,17,1.23,2.6666666666666665,0.426
2020-04-04,20,1.301,2.75,0.439
2020-04-05,21,1.322,2.4,0.38
2020-04-06,22,1.342,2.1666666666666665,0.336
2020-04-07,27,1.431,2.8333333333333335,0.452
2020-04-08,28,1.447,2.5714285714285716,0.41
2020-04-09,35,1.544,3.4285714285714284,0.535
2020-04-10,36,1.556,2.7142857142857144,0.434
2020-04-11,41,1.613,3.0,0.477
2020-04-13,43,1.633,3.5,0.544
2020-04-14,54,1.732,4.5,0.653
2020-04-15,55,1.74,4.5,0.653
2020-04-16,60,1.778,4.166666666666667,0.62
2020-04-17,71,1.851,5.833333333333333,0.766
2020-04-18,73,1.863,5.333333333333333,0.727
2020-04-19,74,1.869,4.714285714285714,0.673
2020-04-20,75,1.875,4.571428571428571,0.66
2020-04-21,79,1.898,3.5714285714285716,0.553
2020-04-22,91,1.959,5.142857142857143,0.711
2020-04-23,95,1.978,5.0,0.699
