,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-02,1,0.0,1.0,0.0
2020-03-04,2,0.301,1.0,0.0
2020-03-18,3,0.477,1.0,0.0
2020-03-26,4,0.602,1.0,0.0
2020-03-30,9,0.954,3.0,0.477
2020-04-01,11,1.041,2.6666666666666665,0.426
2020-04-02,18,1.255,4.666666666666667,0.669
2020-04-03,19,1.279,3.75,0.574
2020-04-04,20,1.301,3.2,0.505
2020-04-05,21,1.322,2.8333333333333335,0.452
2020-04-06,23,1.362,2.3333333333333335,0.368
2020-04-07,25,1.398,2.2857142857142856,0.359
2020-04-08,26,1.415,2.142857142857143,0.331
2020-04-09,28,1.447,1.4285714285714286,0.155
2020-04-10,29,1.462,1.4285714285714286,0.155
2020-04-11,30,1.477,1.4285714285714286,0.155
2020-04-12,37,1.568,2.2857142857142856,0.359
2020-04-13,39,1.591,2.2857142857142856,0.359
2020-04-14,40,1.602,2.142857142857143,0.331
2020-04-15,41,1.613,2.142857142857143,0.331
2020-04-17,44,1.643,2.5,0.398
2020-04-18,45,1.653,2.5,0.398
2020-04-19,46,1.663,1.5,0.176
2020-04-20,47,1.672,1.3333333333333333,0.125
2020-05-12,48,1.681,1.0,0.0
2020-05-13,67,1.826,10.0,1.0
2020-05-14,69,1.839,7.333333333333333,0.865
