,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-20,2,0.301,2.0,0.301
2020-03-01,3,0.477,1.0,0.0
2020-03-17,4,0.602,1.0,0.0
2020-03-19,5,0.699,1.0,0.0
2020-03-20,6,0.778,1.0,0.0
2020-03-23,7,0.845,1.0,0.0
2020-03-24,10,1.0,1.5,0.176
2020-03-26,13,1.114,2.0,0.301
2020-03-27,17,1.23,2.75,0.439
2020-03-28,23,1.362,3.4,0.531
2020-03-29,27,1.431,3.5,0.544
2020-03-30,30,1.477,3.8333333333333335,0.584
2020-03-31,47,1.672,6.166666666666667,0.79
2020-04-01,76,1.881,9.428571428571429,0.974
2020-04-02,98,1.991,12.142857142857142,1.084
2020-04-03,117,2.068,14.285714285714286,1.155
2020-04-04,144,2.158,17.285714285714285,1.238
2020-04-05,160,2.204,19.0,1.279
2020-04-06,175,2.243,20.714285714285715,1.316
2020-04-07,199,2.299,21.714285714285715,1.337
2020-04-08,224,2.35,21.142857142857142,1.325
2020-04-09,250,2.398,21.714285714285715,1.337
2020-04-10,290,2.462,24.714285714285715,1.393
2020-04-11,334,2.524,27.142857142857142,1.434
2020-04-12,364,2.561,29.142857142857142,1.465
2020-04-13,378,2.577,29.0,1.462
2020-04-14,408,2.611,29.857142857142858,1.475
2020-04-15,439,2.642,30.714285714285715,1.487
2020-04-16,467,2.669,31.0,1.491
2020-04-17,483,2.684,27.571428571428573,1.44
2020-04-18,507,2.705,24.714285714285715,1.393
2020-04-19,523,2.719,22.714285714285715,1.356
2020-04-20,525,2.72,21.0,1.322
2020-04-21,546,2.737,19.714285714285715,1.295
2020-04-22,567,2.754,18.285714285714285,1.262
