,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-02,4,0.602,4.0,0.602
2020-03-05,5,0.699,2.5,0.398
2020-03-09,7,0.845,1.5,0.176
2020-03-10,10,1.0,2.0,0.301
2020-03-12,13,1.114,2.6666666666666665,0.426
2020-03-14,15,1.176,2.5,0.398
2020-03-16,18,1.255,2.75,0.439
2020-03-17,20,1.301,2.5,0.398
2020-03-18,21,1.322,2.2,0.342
2020-03-19,23,1.362,2.0,0.301
2020-03-20,24,1.38,1.8333333333333333,0.263
2020-03-21,26,1.415,1.8333333333333333,0.263
2020-03-24,27,1.431,1.4,0.146
2020-03-25,28,1.447,1.4,0.146
2020-03-27,29,1.462,1.25,0.097
2020-03-28,30,1.477,1.0,0.0
2020-03-31,31,1.491,1.0,0.0
2020-04-03,33,1.519,1.3333333333333333,0.125
2020-04-07,35,1.544,2.0,0.301
2020-04-08,37,1.568,2.0,0.301
2020-04-09,39,1.591,2.0,0.301
2020-04-11,40,1.602,1.75,0.243
2020-04-14,43,1.633,2.0,0.301
2020-04-15,44,1.643,1.75,0.243
2020-04-16,45,1.653,1.5,0.176
2020-04-17,51,1.708,2.4,0.38
2020-04-18,53,1.724,2.6,0.415
2020-04-21,55,1.74,2.4,0.38
2020-04-22,58,1.763,2.8,0.447
2020-04-23,59,1.771,2.8,0.447
2020-04-24,63,1.799,2.4,0.38
2020-04-25,65,1.813,2.4,0.38
2020-04-26,68,1.833,2.5,0.398
2020-04-28,73,1.863,3.0,0.477
2020-05-01,75,1.875,3.0,0.477
2020-05-05,76,1.881,1.5,0.176
2020-05-08,79,1.898,2.0,0.301
2020-05-15,80,1.903,1.0,0.0
2020-06-18,81,1.908,1.0,0.0
2020-07-04,82,1.914,1.0,0.0
2020-07-08,83,1.919,1.0,0.0
2020-07-11,84,1.924,1.0,0.0
2020-07-15,86,1.934,1.5,0.176
2020-07-18,87,1.94,1.5,0.176
2020-07-21,89,1.949,1.6666666666666667,0.222
2020-07-25,90,1.954,1.5,0.176
2020-07-26,91,1.959,1.3333333333333333,0.125
2020-07-28,94,1.973,1.6666666666666667,0.222
2020-07-29,96,1.982,1.75,0.243
2020-07-30,100,2.0,2.2,0.342
2020-07-31,109,2.037,3.3333333333333335,0.523
2020-08-01,111,2.045,3.5,0.544
2020-08-02,113,2.053,3.6666666666666665,0.564
2020-08-03,116,2.064,3.5714285714285716,0.553
2020-08-04,117,2.068,3.2857142857142856,0.517
2020-08-06,121,2.083,3.5,0.544
2020-08-07,122,2.086,2.1666666666666665,0.336
2020-08-08,124,2.093,2.1666666666666665,0.336
2020-08-11,125,2.097,2.0,0.301
2020-08-16,126,2.1,1.0,0.0
2020-08-18,129,2.111,2.0,0.301
2020-08-19,132,2.121,2.3333333333333335,0.368
2020-08-20,133,2.124,2.0,0.301
2020-08-22,134,2.127,1.8,0.255
2020-08-27,135,2.13,1.0,0.0
2020-08-28,137,2.137,1.3333333333333333,0.125
2020-08-31,139,2.143,1.6666666666666667,0.222
2020-09-02,140,2.146,1.5,0.176
2020-09-04,141,2.149,1.3333333333333333,0.125
2020-09-08,142,2.152,1.0,0.0
2020-09-09,143,2.155,1.0,0.0
2020-09-11,144,2.158,1.0,0.0
