,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-17,1,0.0,1.0,0.0
2020-03-18,3,0.477,1.5,0.176
2020-03-22,4,0.602,1.3333333333333333,0.125
2020-03-23,5,0.699,1.25,0.097
2020-03-24,10,1.0,2.25,0.352
2020-03-27,13,1.114,2.5,0.398
2020-03-28,20,1.301,3.4,0.531
2020-03-29,23,1.362,3.8,0.58
2020-03-30,28,1.447,4.6,0.663
2020-03-31,32,1.505,4.4,0.643
2020-04-01,49,1.69,6.5,0.813
2020-04-02,50,1.699,5.714285714285714,0.757
2020-04-03,60,1.778,6.714285714285714,0.827
2020-04-04,65,1.813,6.428571428571429,0.808
2020-04-05,69,1.839,6.571428571428571,0.818
2020-04-06,77,1.886,7.0,0.845
2020-04-07,82,1.914,7.142857142857143,0.854
2020-04-08,83,1.919,4.857142857142857,0.686
2020-04-09,87,1.94,5.285714285714286,0.723
2020-04-10,97,1.987,5.285714285714286,0.723
2020-04-11,114,2.057,7.0,0.845
2020-04-12,115,2.061,6.571428571428571,0.818
2020-04-13,116,2.064,5.571428571428571,0.746
2020-04-14,121,2.083,5.571428571428571,0.746
2020-04-15,125,2.097,6.0,0.778
2020-04-16,136,2.134,7.0,0.845
2020-04-17,139,2.143,6.0,0.778
2020-04-18,142,2.152,4.0,0.602
2020-04-19,146,2.164,4.428571428571429,0.646
2020-04-20,150,2.176,4.857142857142857,0.686
2020-04-21,156,2.193,5.0,0.699
2020-04-22,158,2.199,4.714285714285714,0.673
2020-04-23,162,2.21,3.7142857142857144,0.57
2020-04-24,164,2.215,3.5714285714285716,0.553
2020-04-25,166,2.22,3.4285714285714284,0.535
2020-04-26,167,2.223,3.0,0.477
2020-04-28,168,2.225,2.0,0.301
2020-04-29,169,2.228,1.8333333333333333,0.263
2020-05-01,171,2.233,1.4,0.146
2020-05-03,173,2.238,1.5,0.176
2020-05-04,174,2.241,1.4,0.146
2020-05-23,175,2.243,1.0,0.0
2020-06-19,176,2.246,1.0,0.0
2020-06-20,177,2.248,1.0,0.0
2020-06-23,178,2.25,1.0,0.0
2020-06-25,179,2.253,1.0,0.0
2020-06-26,180,2.255,1.0,0.0
2020-06-28,181,2.258,1.0,0.0
2020-06-29,182,2.26,1.0,0.0
2020-07-01,184,2.265,1.2,0.079
2020-07-03,186,2.27,1.5,0.176
