,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-31,1,0.0,1.0,0.0
2020-02-13,2,0.301,1.0,0.0
2020-02-20,3,0.477,1.0,0.0
2020-02-21,6,0.778,2.0,0.301
2020-02-22,7,0.845,1.6666666666666667,0.222
2020-02-25,9,0.954,1.75,0.243
2020-02-26,10,1.0,1.6,0.204
2020-02-27,11,1.041,1.6,0.204
2020-03-01,12,1.079,1.25,0.097
2020-03-03,13,1.114,1.0,0.0
2020-03-05,14,1.146,1.0,0.0
2020-03-06,18,1.255,1.75,0.243
2020-03-07,19,1.279,1.6,0.204
2020-03-08,20,1.301,1.6,0.204
2020-03-10,23,1.362,2.0,0.301
2020-03-11,25,1.398,2.0,0.301
2020-03-12,27,1.431,2.1666666666666665,0.336
2020-03-13,29,1.462,1.8333333333333333,0.263
2020-03-17,31,1.491,2.0,0.301
2020-03-18,33,1.519,2.0,0.301
2020-03-19,36,1.556,2.25,0.352
2020-03-20,37,1.568,2.0,0.301
2020-03-22,39,1.591,2.0,0.301
2020-03-24,44,1.643,2.6,0.415
2020-03-25,48,1.681,3.0,0.477
2020-03-26,51,1.708,3.0,0.477
2020-03-27,59,1.771,4.4,0.643
2020-03-28,117,2.068,13.333333333333334,1.125
2020-03-29,144,2.158,17.5,1.243
2020-03-30,156,2.193,16.714285714285715,1.223
2020-03-31,166,2.22,17.428571428571427,1.241
2020-04-01,173,2.238,17.857142857142858,1.252
2020-04-02,187,2.272,19.428571428571427,1.288
2020-04-03,216,2.334,22.428571428571427,1.351
2020-04-04,246,2.391,18.428571428571427,1.265
2020-04-05,257,2.41,16.142857142857142,1.208
2020-04-06,269,2.43,16.142857142857142,1.208
2020-04-07,307,2.487,20.142857142857142,1.304
2020-04-08,338,2.529,23.571428571428573,1.372
2020-04-09,367,2.565,25.714285714285715,1.41
2020-04-10,406,2.609,27.142857142857142,1.434
2020-04-11,448,2.651,28.857142857142858,1.46
2020-04-12,465,2.667,29.714285714285715,1.473
2020-04-13,481,2.682,30.285714285714285,1.481
2020-04-14,515,2.712,29.714285714285715,1.473
2020-04-15,565,2.752,32.42857142857143,1.511
2020-04-16,597,2.776,32.857142857142854,1.517
2020-04-17,629,2.799,31.857142857142858,1.503
2020-04-18,648,2.812,28.571428571428573,1.456
2020-04-19,669,2.825,29.142857142857142,1.465
2020-04-20,687,2.837,29.428571428571427,1.469
2020-04-21,708,2.85,27.571428571428573,1.44
2020-04-22,729,2.863,23.428571428571427,1.37
2020-04-23,748,2.874,21.571428571428573,1.334
2020-04-24,758,2.88,18.428571428571427,1.265
2020-04-25,766,2.884,16.857142857142858,1.227
2020-04-26,773,2.888,14.857142857142858,1.172
2020-04-27,781,2.893,13.428571428571429,1.128
2020-04-28,787,2.896,11.285714285714286,1.053
2020-04-29,796,2.901,9.571428571428571,0.981
2020-04-30,799,2.903,7.285714285714286,0.862
2020-05-01,805,2.906,6.714285714285714,0.827
2020-05-02,810,2.908,6.285714285714286,0.798
2020-05-03,815,2.911,6.0,0.778
2020-05-04,816,2.912,5.0,0.699
2020-05-05,818,2.913,4.428571428571429,0.646
2020-05-06,823,2.915,3.857142857142857,0.586
