,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-14,1,0.0,1.0,0.0
2020-02-15,2,0.301,1.0,0.0
2020-02-16,3,0.477,1.0,0.0
2020-02-17,4,0.602,1.0,0.0
2020-02-18,5,0.699,1.0,0.0
2020-02-19,6,0.778,1.0,0.0
2020-02-20,7,0.845,1.0,0.0
2020-02-21,9,0.954,1.1428571428571428,0.058
2020-02-22,13,1.114,1.5714285714285714,0.196
2020-02-23,15,1.176,1.7142857142857142,0.234
2020-02-25,18,1.255,2.1666666666666665,0.336
2020-02-26,23,1.362,2.8333333333333335,0.452
2020-02-27,25,1.398,3.0,0.477
2020-02-28,26,1.415,2.8333333333333335,0.452
2020-02-29,27,1.431,2.3333333333333335,0.368
2020-03-01,30,1.477,2.5,0.398
2020-03-03,39,1.591,3.5,0.544
2020-03-04,47,1.672,4.0,0.602
2020-03-05,55,1.74,5.0,0.699
2020-03-06,60,1.778,5.666666666666667,0.753
2020-03-07,67,1.826,6.666666666666667,0.824
2020-03-08,78,1.892,8.0,0.903
2020-03-09,84,1.924,7.714285714285714,0.887
2020-03-10,97,1.987,8.285714285714286,0.918
2020-03-11,102,2.009,7.857142857142857,0.895
2020-03-12,109,2.037,7.714285714285714,0.887
2020-03-13,112,2.049,7.428571428571429,0.871
2020-03-14,119,2.076,7.428571428571429,0.871
2020-03-16,121,2.083,6.166666666666667,0.79
2020-03-17,123,2.09,4.333333333333333,0.637
2020-03-18,128,2.107,4.333333333333333,0.637
2020-03-19,132,2.121,3.8333333333333335,0.584
2020-03-20,138,2.14,4.333333333333333,0.637
2020-03-21,140,2.146,3.5,0.544
2020-03-22,143,2.155,3.4285714285714284,0.535
2020-03-23,145,2.161,3.4285714285714284,0.535
2020-03-24,148,2.17,3.5714285714285716,0.553
2020-03-25,154,2.188,3.7142857142857144,0.57
2020-03-26,157,2.196,3.5714285714285716,0.553
2020-03-27,160,2.204,3.142857142857143,0.497
2020-03-28,163,2.212,3.2857142857142856,0.517
2020-03-29,166,2.22,3.2857142857142856,0.517
2020-03-30,169,2.228,3.4285714285714284,0.535
2020-03-31,179,2.253,4.428571428571429,0.646
2020-04-01,183,2.262,4.142857142857143,0.617
2020-04-02,190,2.279,4.714285714285714,0.673
2020-04-03,202,2.305,6.0,0.778
2020-04-04,221,2.344,8.285714285714286,0.918
2020-04-05,228,2.358,8.857142857142858,0.947
2020-04-06,239,2.378,10.0,1.0
2020-04-07,260,2.415,11.571428571428571,1.063
2020-04-08,282,2.45,14.142857142857142,1.151
2020-04-09,304,2.483,16.285714285714285,1.212
2020-04-10,317,2.501,16.428571428571427,1.216
2020-04-11,328,2.516,15.285714285714286,1.184
2020-04-12,332,2.521,14.857142857142858,1.172
2020-04-13,338,2.529,14.142857142857142,1.151
2020-04-14,348,2.542,12.571428571428571,1.099
2020-04-15,360,2.556,11.142857142857142,1.047
2020-04-16,373,2.572,9.857142857142858,0.994
2020-04-17,381,2.581,9.142857142857142,0.961
