,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-15,1,0.0,1.0,0.0
2020-02-11,2,0.301,1.0,0.0
2020-02-13,3,0.477,1.0,0.0
2020-02-14,4,0.602,1.0,0.0
2020-02-17,5,0.699,1.0,0.0
2020-02-18,7,0.845,1.25,0.097
2020-02-19,8,0.903,1.2,0.079
2020-02-20,10,1.0,1.4,0.146
2020-02-21,13,1.114,1.8,0.255
2020-02-22,17,1.23,2.1666666666666665,0.336
2020-02-24,18,1.255,2.1666666666666665,0.336
2020-02-26,20,1.301,2.4,0.38
2020-02-27,24,1.38,2.8,0.447
2020-02-28,25,1.398,2.4,0.38
2020-03-01,27,1.431,2.0,0.301
2020-03-02,31,1.491,2.6,0.415
2020-03-03,32,1.505,2.3333333333333335,0.368
2020-03-05,36,1.556,2.4,0.38
2020-03-06,41,1.613,3.2,0.505
2020-03-07,42,1.623,2.8333333333333335,0.452
2020-03-10,45,1.653,3.25,0.512
2020-03-11,50,1.699,3.6,0.556
2020-03-12,51,1.708,3.0,0.477
2020-03-13,52,1.716,2.2,0.342
2020-03-14,54,1.732,2.4,0.38
2020-03-15,58,1.763,2.6666666666666665,0.426
2020-03-16,61,1.785,2.7142857142857144,0.434
2020-03-17,63,1.799,2.5714285714285716,0.41
2020-03-18,67,1.826,2.4285714285714284,0.385
2020-03-19,72,1.857,3.0,0.477
2020-03-20,75,1.875,3.2857142857142856,0.517
2020-03-21,79,1.898,3.5714285714285716,0.553
2020-03-24,87,1.94,4.8,0.681
2020-03-25,92,1.964,5.0,0.699
2020-03-26,101,2.004,5.8,0.763
2020-03-27,115,2.061,8.0,0.903
2020-03-28,127,2.104,9.6,0.982
2020-03-29,132,2.121,8.833333333333334,0.946
2020-03-30,144,2.158,9.285714285714286,0.968
2020-03-31,163,2.212,10.857142857142858,1.036
2020-04-01,189,2.276,13.857142857142858,1.142
2020-04-02,221,2.344,17.142857142857142,1.234
2020-04-03,245,2.389,18.571428571428573,1.269
2020-04-04,269,2.43,20.285714285714285,1.307
2020-04-05,271,2.433,19.857142857142858,1.298
2020-04-06,291,2.464,21.0,1.322
2020-04-07,348,2.542,26.428571428571427,1.422
2020-04-08,382,2.582,27.571428571428573,1.44
2020-04-09,436,2.639,30.714285714285715,1.487
2020-04-10,476,2.678,33.0,1.519
2020-04-11,539,2.732,38.57142857142857,1.586
2020-04-12,564,2.751,41.857142857142854,1.622
2020-04-13,576,2.76,40.714285714285715,1.61
2020-04-14,605,2.782,36.714285714285715,1.565
2020-04-15,649,2.812,38.142857142857146,1.581
2020-04-16,699,2.844,37.57142857142857,1.575
2020-04-17,736,2.867,37.142857142857146,1.57
2020-04-18,775,2.889,33.714285714285715,1.528
2020-04-19,795,2.9,33.0,1.519
2020-04-20,802,2.904,32.285714285714285,1.509
2020-04-21,824,2.916,31.285714285714285,1.495
2020-04-22,852,2.93,29.0,1.462
2020-04-23,889,2.949,27.142857142857142,1.434
2020-04-24,918,2.963,26.0,1.415
2020-04-25,941,2.974,23.714285714285715,1.375
2020-04-26,958,2.981,23.285714285714285,1.367
2020-04-27,959,2.982,22.428571428571427,1.351
2020-04-28,981,2.992,22.428571428571427,1.351
2020-04-29,1003,3.001,21.571428571428573,1.334
2020-04-30,1023,3.01,19.142857142857142,1.282
2020-05-01,1052,3.022,19.142857142857142,1.282
2020-05-02,1081,3.034,20.0,1.301
2020-05-03,1098,3.041,20.0,1.301
2020-05-04,1112,3.046,21.857142857142858,1.34
2020-05-05,1120,3.049,19.857142857142858,1.298
2020-05-06,1130,3.053,18.142857142857142,1.259
2020-05-07,1140,3.057,16.714285714285715,1.223
2020-05-08,1144,3.058,13.142857142857142,1.119
2020-05-09,1154,3.062,10.428571428571429,1.018
2020-05-10,1166,3.067,9.714285714285714,0.987
2020-05-11,1173,3.069,8.714285714285714,0.94
2020-05-12,1189,3.075,9.857142857142858,0.994
2020-05-13,1207,3.082,11.0,1.041
2020-05-14,1233,3.091,13.285714285714286,1.123
2020-05-15,1249,3.097,15.0,1.176
2020-05-16,1260,3.1,15.142857142857142,1.18
2020-05-17,1270,3.104,14.857142857142858,1.172
2020-05-18,1272,3.104,14.142857142857142,1.151
2020-05-19,1288,3.11,14.142857142857142,1.151
2020-05-20,1300,3.114,13.285714285714286,1.123
2020-05-21,1309,3.117,10.857142857142858,1.036
2020-05-22,1317,3.12,9.714285714285714,0.987
2020-05-23,1324,3.122,9.142857142857142,0.961
2020-05-24,1327,3.123,8.142857142857142,0.911
2020-05-26,1328,3.123,6.666666666666667,0.824
2020-05-27,1341,3.127,6.833333333333333,0.835
2020-05-28,1343,3.128,5.666666666666667,0.753
2020-05-29,1360,3.134,7.166666666666667,0.855
2020-05-30,1363,3.134,6.5,0.813
2020-05-31,1364,3.135,6.166666666666667,0.79
2020-06-01,1365,3.135,5.428571428571429,0.735
2020-06-02,1368,3.136,5.714285714285714,0.757
2020-06-03,1373,3.138,4.571428571428571,0.66
2020-06-04,1376,3.139,4.714285714285714,0.673
