,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-31,1,0.0,1.0,0.0
2020-02-01,3,0.477,1.5,0.176
2020-02-14,4,0.602,1.0,0.0
2020-02-17,5,0.699,1.0,0.0
2020-03-02,6,0.778,1.0,0.0
2020-03-07,7,0.845,1.0,0.0
2020-03-10,8,0.903,1.0,0.0
2020-03-12,9,0.954,1.0,0.0
2020-03-13,10,1.0,1.0,0.0
2020-03-15,11,1.041,1.0,0.0
2020-03-17,14,1.146,1.5,0.176
2020-03-18,16,1.204,1.6,0.204
2020-03-22,17,1.23,2.0,0.301
2020-03-24,18,1.255,1.3333333333333333,0.125
2020-03-25,19,1.279,1.0,0.0
2020-03-26,41,1.613,6.25,0.796
2020-03-27,42,1.623,5.2,0.716
2020-03-28,43,1.633,4.5,0.653
2020-03-30,69,1.839,8.666666666666666,0.938
2020-03-31,70,1.845,8.666666666666666,0.938
2020-04-01,81,1.908,10.333333333333334,1.014
2020-04-02,82,1.914,6.833333333333333,0.835
2020-04-03,89,1.949,7.833333333333333,0.894
2020-04-04,91,1.959,8.0,0.903
2020-04-05,97,1.987,7.714285714285714,0.887
2020-04-06,98,1.991,4.142857142857143,0.617
2020-04-07,105,2.021,5.0,0.699
2020-04-08,114,2.057,4.714285714285714,0.673
2020-04-09,117,2.068,5.0,0.699
2020-04-10,125,2.097,5.142857142857143,0.711
2020-04-11,131,2.117,5.714285714285714,0.757
2020-04-12,135,2.13,5.428571428571429,0.735
2020-04-13,137,2.137,5.571428571428571,0.746
2020-04-14,143,2.155,5.428571428571429,0.735
2020-04-15,148,2.17,4.857142857142857,0.686
2020-04-16,153,2.185,5.142857142857143,0.711
2020-04-17,160,2.204,5.0,0.699
2020-04-18,168,2.225,5.285714285714286,0.723
2020-04-19,172,2.236,5.285714285714286,0.723
2020-04-20,175,2.243,5.428571428571429,0.735
2020-04-21,182,2.26,5.571428571428571,0.746
2020-04-22,190,2.279,6.0,0.778
2020-04-23,197,2.294,6.285714285714286,0.798
2020-04-24,200,2.301,5.714285714285714,0.757
2020-04-25,204,2.31,5.142857142857143,0.711
2020-04-26,205,2.312,4.714285714285714,0.673
2020-04-28,208,2.318,4.333333333333333,0.637
2020-04-29,211,2.324,3.5,0.544
2020-04-30,214,2.33,2.8333333333333335,0.452
2020-05-01,215,2.332,2.5,0.398
2020-05-02,218,2.338,2.3333333333333335,0.368
2020-05-03,219,2.34,2.3333333333333335,0.368
2020-05-04,220,2.342,2.142857142857143,0.331
2020-05-05,221,2.344,1.8571428571428572,0.269
2020-05-07,222,2.346,1.3333333333333333,0.125
2020-05-08,225,2.352,1.6666666666666667,0.222
2020-05-09,226,2.354,1.3333333333333333,0.125
2020-05-10,229,2.36,1.6666666666666667,0.222
2020-05-11,230,2.362,1.6666666666666667,0.222
2020-05-12,232,2.365,1.8333333333333333,0.263
2020-05-16,234,2.369,2.0,0.301
2020-05-20,235,2.371,1.5,0.176
2020-05-21,237,2.375,1.6666666666666667,0.222
2020-05-22,238,2.377,1.5,0.176
2020-05-25,239,2.378,1.25,0.097
2020-05-26,242,2.384,1.6,0.204
2020-05-27,244,2.387,1.8,0.255
2020-05-29,245,2.389,1.75,0.243
2020-05-30,246,2.391,1.6,0.204
2020-05-31,247,2.393,1.5,0.176
2020-06-02,248,2.394,1.2,0.079
2020-06-03,249,2.396,1.0,0.0
2020-06-04,250,2.398,1.0,0.0
2020-06-09,253,2.403,1.6666666666666667,0.222
2020-06-10,255,2.407,2.0,0.301
2020-06-11,256,2.408,2.0,0.301
2020-06-12,258,2.412,2.0,0.301
2020-06-14,261,2.417,2.2,0.342
2020-06-15,262,2.418,2.0,0.301
2020-06-18,265,2.423,2.25,0.352
2020-06-23,268,2.428,3.0,0.477
2020-06-24,270,2.431,2.6666666666666665,0.426
2020-06-25,271,2.433,2.0,0.301
2020-06-26,275,2.439,2.5,0.398
2020-06-27,277,2.442,2.4,0.38
2020-07-02,278,2.444,2.3333333333333335,0.368
2020-07-03,279,2.446,1.3333333333333333,0.125
2020-07-04,281,2.449,1.3333333333333333,0.125
2020-07-06,286,2.456,2.25,0.352
2020-07-07,287,2.458,2.0,0.301
2020-07-09,289,2.461,2.2,0.342
2020-07-13,290,2.462,1.3333333333333333,0.125
2020-07-14,298,2.474,3.6666666666666665,0.564
2020-07-15,304,2.483,4.25,0.628
2020-07-17,306,2.486,4.25,0.628
2020-07-18,310,2.491,4.2,0.623
2020-07-19,314,2.497,4.166666666666667,0.62
2020-07-20,320,2.505,5.0,0.699
2020-07-21,325,2.512,4.5,0.653
2020-07-22,330,2.519,4.333333333333333,0.637
2020-07-23,334,2.524,4.285714285714286,0.632
2020-07-24,339,2.53,4.714285714285714,0.673
2020-07-25,346,2.539,5.142857142857143,0.711
2020-07-26,356,2.551,6.0,0.778
2020-07-27,358,2.554,5.428571428571429,0.735
2020-07-28,368,2.566,6.142857142857143,0.788
2020-07-29,371,2.569,5.857142857142857,0.768
2020-07-30,373,2.572,5.571428571428571,0.746
2020-07-31,381,2.581,6.0,0.778
2020-08-01,386,2.587,5.714285714285714,0.757
2020-08-02,389,2.59,4.714285714285714,0.673
2020-08-03,390,2.591,4.571428571428571,0.66
2020-08-04,403,2.605,5.0,0.699
2020-08-05,413,2.616,6.0,0.778
2020-08-06,423,2.626,7.142857142857143,0.854
2020-08-07,433,2.636,7.428571428571429,0.871
2020-08-08,439,2.642,7.571428571428571,0.879
2020-08-09,441,2.644,7.428571428571429,0.871
2020-08-10,450,2.653,8.571428571428571,0.933
2020-08-11,455,2.658,7.428571428571429,0.871
2020-08-12,464,2.667,7.285714285714286,0.862
2020-08-13,472,2.674,7.0,0.845
2020-08-14,480,2.681,6.714285714285714,0.827
2020-08-15,485,2.686,6.571428571428571,0.818
2020-08-16,494,2.694,7.571428571428571,0.879
2020-08-17,501,2.7,7.285714285714286,0.862
2020-08-18,509,2.707,7.714285714285714,0.887
2020-08-19,519,2.715,7.857142857142857,0.895
2020-08-21,529,2.723,8.166666666666666,0.912
2020-08-22,531,2.725,7.666666666666667,0.885
2020-08-23,539,2.732,7.5,0.875
2020-08-26,541,2.733,5.5,0.74
2020-08-27,543,2.735,4.8,0.681
2020-08-28,545,2.736,3.2,0.505
2020-08-29,548,2.739,3.4,0.531
2020-09-01,554,2.744,3.0,0.477
2020-09-02,555,2.744,2.8,0.447
2020-09-03,557,2.746,2.8,0.447
2020-09-04,558,2.747,2.6,0.415
2020-09-07,560,2.748,2.4,0.38
2020-09-08,564,2.751,2.0,0.301
