,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-01,1,0.0,1.0,0.0
2020-03-03,3,0.477,1.5,0.176
2020-03-05,4,0.602,1.3333333333333333,0.125
2020-03-06,8,0.903,2.0,0.301
2020-03-07,10,1.0,2.0,0.301
2020-03-08,12,1.079,2.2,0.342
2020-03-09,16,1.204,2.5,0.398
2020-03-10,25,1.398,3.6666666666666665,0.564
2020-03-11,38,1.58,5.0,0.699
2020-03-12,46,1.663,6.0,0.778
2020-03-13,56,1.748,6.857142857142857,0.836
2020-03-14,67,1.826,8.142857142857142,0.911
2020-03-15,79,1.898,9.571428571428571,0.981
2020-03-16,84,1.924,9.714285714285714,0.987
2020-03-17,85,1.929,8.571428571428571,0.933
2020-03-18,90,1.954,7.428571428571429,0.871
2020-03-19,94,1.973,6.857142857142857,0.836
2020-03-20,100,2.0,6.285714285714286,0.798
2020-03-21,106,2.025,5.571428571428571,0.746
2020-03-22,112,2.049,4.714285714285714,0.673
2020-03-23,114,2.057,4.285714285714286,0.632
2020-03-24,118,2.072,4.714285714285714,0.673
2020-03-26,119,2.076,4.166666666666667,0.62
2020-03-27,123,2.09,3.8333333333333335,0.584
2020-03-28,131,2.117,4.166666666666667,0.62
2020-03-29,133,2.124,3.5,0.544
2020-03-30,138,2.14,4.0,0.602
2020-03-31,156,2.193,6.333333333333333,0.802
2020-04-01,164,2.215,6.571428571428571,0.818
2020-04-02,172,2.236,7.571428571428571,0.879
2020-04-03,182,2.26,8.428571428571429,0.926
2020-04-04,195,2.29,9.142857142857142,0.961
2020-04-05,211,2.324,11.142857142857142,1.047
2020-04-06,217,2.336,11.285714285714286,1.053
2020-04-07,244,2.387,12.571428571428571,1.099
2020-04-08,270,2.431,15.142857142857142,1.18
2020-04-09,300,2.477,18.285714285714285,1.262
2020-04-10,339,2.53,22.428571428571427,1.351
2020-04-11,364,2.561,24.142857142857142,1.383
2020-04-12,376,2.575,23.571428571428573,1.372
2020-04-13,390,2.591,24.714285714285715,1.393
2020-04-14,404,2.606,22.857142857142858,1.359
2020-04-15,436,2.639,23.714285714285715,1.375
2020-04-16,450,2.653,21.428571428571427,1.331
